source_paper_id,num_refs,mean,median,max,paper_id,title,year
1,32,5.71875,3.0,44.0,1.0,Steve-Evolving: Open-World Embodied Self-Evolution via Fine-Grained Diagnosis and Dual-Track Knowledge Distillation,2026.0
2,39,4.461538461538462,3.0,16.0,2.0,AVION: Aerial Vision-Language Instruction from Offline Teacher to Prompt-Tuned Network,2026.0
3,36,7.25,3.5,42.0,3.0,Generalist Large Language Models for Molecular Property Prediction: Distilling Knowledge from Specialist Models,2026.0
4,35,5.0,5.0,15.0,4.0,Long-Context Encoder Models for Polish Language Understanding,2026.0
5,48,4.25,3.0,12.0,5.0,PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation,2026.0
6,21,2.5238095238095237,2.0,11.0,6.0,Bielik-Minitron-7B: Compressing Large Language Models via Structured Pruning and Knowledge Distillation for the Polish Language,2026.0
7,70,7.642857142857143,7.0,33.0,7.0,Evaluating Explainable AI Attribution Methods in Neural Machine Translation via Attention-Guided Knowledge Distillation,2026.0
8,85,7.670588235294118,7.0,21.0,8.0,From Images to Words: Efficient Cross-Modal Knowledge Distillation to Language Models from Black-box Teachers,2026.0
9,58,2.0172413793103448,1.0,17.0,9.0,CodePercept: Code-Grounded Visual STEM Perception for MLLMs,2026.0
10,80,5.7625,5.0,17.0,10.0,Contract And Conquer: How to Provably Compute Adversarial Examples for a Black-Box Model?,2026.0
11,71,4.47887323943662,3.0,26.0,11.0,A Multi-Prototype-Guided Federated Knowledge Distillation Approach in AI-RAN Enabled Multi-Access Edge Computing System,2026.0
12,46,5.0,5.0,11.0,12.0,Decoder-Free Distillation for Quantized Image Restoration,2026.0
14,40,5.1,4.5,14.0,14.0,RTFDNet: Fusion-Decoupling for Robust RGB-T Segmentation,2026.0
15,34,4.323529411764706,3.0,35.0,15.0,Agentic Critical Training,2026.0
16,9,7.777777777777778,7.0,20.0,16.0,DistillGuard: Evaluating Defenses Against LLM Knowledge Distillation,2026.0
17,59,6.1525423728813555,4.0,41.0,17.0,Geometric Knowledge-Assisted Federated Dual Knowledge Distillation Approach Towards Remote Sensing Satellite Imagery,2026.0
18,71,4.295774647887324,3.0,22.0,18.0,Selective Transfer Learning of Cross-Modality Distillation for Monocular 3D Object Detection,2024.0
19,62,3.4838709677419355,2.0,24.0,19.0,Efficient Personalized Reranking with Semi-Autoregressive Generation and Online Knowledge Distillation,2026.0
20,68,3.485294117647059,3.0,11.0,20.0,TaPD: Temporal-adaptive Progressive Distillation for Observation-Adaptive Trajectory Forecasting in Autonomous Driving,2026.0
21,51,6.745098039215686,7.0,13.0,21.0,CR-QAT: Curriculum Relational Quantization-Aware Training for Open-Vocabulary Object Detection,2026.0
22,37,5.216216216216216,4.0,12.0,22.0,MobileFetalCLIP: Selective Repulsive Knowledge Distillation for Mobile Fetal Ultrasound Analysis,2026.0
23,3,9.0,11.0,11.0,23.0,Breaking the Geometric Bottleneck: Contrastive Expansion in Asymmetric Cross-Modal Distillation,2026.0
24,78,8.974358974358974,8.0,38.0,24.0,A Benchmark Study of Neural Network Compression Methods for Hyperspectral Image Classification,2026.0
25,32,5.3125,6.0,9.0,25.0,An LLM-Guided Query-Aware Inference System for GNN Models on Large Knowledge Graphs,2026.0
26,78,3.6025641025641026,2.0,24.0,26.0,Modeling Cross-vision Synergy for Unified Large Vision Model,2026.0
27,53,4.943396226415095,4.0,17.0,27.0,Generalizable Knowledge Distillation from Vision Foundation Models for Semantic Segmentation,2026.0
28,53,6.547169811320755,5.0,23.0,28.0,A Unified Revisit of Temperature in Classification-Based Knowledge Distillation,2026.0
29,14,5.642857142857143,2.0,26.0,29.0,KDFlow: A User-Friendly and Efficient Knowledge Distillation Framework for Large Language Models,2026.0
30,13,5.230769230769231,5.0,13.0,30.0,End-to-End Simultaneous Dysarthric Speech Reconstruction with Frame-Level Adaptor and Multiple Wait-k Knowledge Distillation,2025.0
31,48,4.4375,3.0,22.0,31.0,Mobile-VTON: High-Fidelity On-Device Virtual Try-On,2026.0
33,15,20.4,10.0,80.0,33.0,On the Limits of Interpretable Machine Learning in Quintic Root Classification,2026.0
34,29,3.2758620689655173,2.0,11.0,34.0,Reinforcement-aware Knowledge Distillation for LLM Reasoning,2026.0
35,27,9.88888888888889,6.0,59.0,35.0,Decoder-based Sense Knowledge Distillation,2026.0
36,9,13.222222222222221,5.0,59.0,36.0,Structure and Redundancy in Large Language Models: A Spectral Study via Random Matrix Theory,2026.0
37,24,7.166666666666667,4.0,48.0,37.0,DWA-KD: Dual-Space Weighting and Time-Warped Alignment for Cross-Tokenizer Knowledge Distillation,2026.0
38,41,4.7560975609756095,3.0,18.0,38.0,Momentum Memory for Knowledge Distillation in Computational Pathology,2026.0
39,20,7.1,4.5,25.0,39.0,"PRECTR-V2:Unified Relevance-CTR Framework with Cross-User Preference Mining, Exposure Bias Correction, and LLM-Distilled Encoder Optimization",2026.0
40,10,11.5,6.5,52.0,40.0,DerMAE: Improving skin lesion classification through conditioned latent diffusion and MAE distillation,2026.0
41,30,9.266666666666667,8.5,27.0,41.0,Enhancing Automatic Chord Recognition via Pseudo-Labeling and Knowledge Distillation,2026.0
42,19,2.8421052631578947,2.0,9.0,42.0,GUIDE-US: Grade-Informed Unpaired Distillation of Encoder Knowledge from Histopathology to Micro-UltraSound,2026.0
43,75,7.093333333333334,6.0,22.0,43.0,Distilling and Adapting: A Topology-Aware Framework for Zero-Shot Interaction Prediction in Multiplex Biological Networks,2026.0
44,92,5.163043478260869,4.0,31.0,44.0,MUOT_3M: A 3 Million Frame Multimodal Underwater Benchmark and the MUTrack Tracking Method,2026.0
45,44,6.0227272727272725,3.0,49.0,45.0,SpectralGCD: Spectral Concept Selection and Cross-modal Representation Learning for Generalized Category Discovery,2026.0
47,14,3.857142857142857,4.0,10.0,47.0,ColBERT-Zero: To Pre-train Or Not To Pre-train ColBERT models,2026.0
48,32,6.625,7.0,20.0,48.0,Task-Specific Knowledge Distillation via Intermediate Probes,2026.0
49,36,6.722222222222222,7.0,17.0,49.0,Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking,2026.0
