year,n_papers,prev_n,growth_rate,log_residual
1779,1,,,6.160144293969566
1867,2,1.0,1.0,2.4170483032223853
1868,1,2.0,-0.5,1.6734892684430491
1870,1,1.0,0.0,1.5726655600042534
1873,1,1.0,0.0,1.4214299973460527
1875,1,1.0,0.0,1.320606288907257
1877,1,1.0,0.0,1.219782580468447
1881,1,1.0,0.0,1.0181351635908555
1889,2,1.0,1.0,1.3079875103956038
1892,1,2.0,-0.5,0.4636047671774719
1893,1,1.0,0.0,0.4131929129580669
1894,1,1.0,0.0,0.36278105873866195
1895,2,1.0,1.0,1.0055163850792166
1896,1,2.0,-0.5,0.2619573502998662
1901,1,1.0,0.0,0.00989807920286978
1902,1,1.0,0.0,-0.04051377501652098
1904,1,1.0,0.0,-0.14133748345531671
1905,1,1.0,0.0,-0.1917493376747217
1906,1,1.0,0.0,-0.24216119189412666
1907,1,1.0,0.0,-0.2925730461135174
1908,1,1.0,0.0,-0.3429849003329224
1909,2,1.0,1.0,0.29975042600763213
1911,2,2.0,0.0,0.1989267175688222
1912,1,2.0,-0.5,-0.5446323172105139
1918,1,1.0,0.0,-0.8471034425269153
1919,1,1.0,0.0,-0.897515296746306
1920,2,1.0,1.0,-0.2547799704057657
1923,2,2.0,0.0,-0.4060155330639664
1925,1,2.0,-0.5,-1.1999864220627074
1926,1,1.0,0.0,-1.2503982762820982
1927,3,1.0,2.0,-0.2021978418333934
1928,1,3.0,-0.6666666666666667,-1.3512219847209082
1929,1,1.0,0.0,-1.401633838940299
1931,2,1.0,1.0,-0.8093103668191494
1933,4,2.0,1.0,-0.2169868946979998
1934,2,4.0,-0.5,-0.9605459294773501
1936,3,2.0,0.5,-0.6559045298079813
1937,2,3.0,-0.33333333333333337,-1.1117814921355507
1938,3,2.0,0.5,-0.756728238246777
1940,2,3.0,-0.33333333333333337,-1.2630170547937514
1942,1,2.0,-0.5,-2.0569879437924925
1943,3,1.0,2.0,-1.0087875093437735
1945,2,3.0,-0.33333333333333337,-1.5150763258907336
1946,4,2.0,1.0,-0.8723409995501934
1947,4,4.0,0.0,-0.9227528537695984
1948,4,4.0,0.0,-0.9731647079889891
1949,5,4.0,0.25,-0.8004330108941844
1950,5,5.0,0.0,-0.8508448651135752
1951,6,5.0,0.19999999999999996,-0.7189351625390255
1952,9,6.0,0.5,-0.3638819086502658
1953,9,9.0,0.0,-0.4142937628696566
1954,6,9.0,-0.33333333333333337,-0.8701707251972262
1955,3,6.0,-0.5,-1.613729759976562
1956,10,3.0,2.3333333333333335,-0.46016880987003095
1957,10,10.0,0.0,-0.5105806640894359
1958,7,10.0,-0.30000000000000004,-0.9176674622475594
1959,4,7.0,-0.4285714285714286,-1.527695104402387
1960,10,4.0,1.5,-0.6618162267476224
1961,6,10.0,-0.4,-1.2230537047330183
1962,7,6.0,0.16666666666666674,-1.1193148791251508
1963,5,7.0,-0.2857142857142857,-1.5061989699657687
1964,14,5.0,1.7999999999999998,-0.5269914070040156
1965,15,14.0,0.0714285714285714,-0.5084103897364547
1966,12,15.0,-0.19999999999999996,-0.7819657952700694
1967,21,12.0,0.75,-0.2727618615540375
1968,8,21.0,-0.6190476190476191,-1.2882546118170297
1969,20,8.0,1.5,-0.4223757341622796
1970,21,20.0,0.050000000000000044,-0.4239974242122382
1971,19,21.0,-0.09523809523809523,-0.5744927369886259
1972,23,19.0,0.21052631578947367,-0.43384935444530726
1973,15,23.0,-0.34782608695652173,-0.9117052234916518
1974,13,15.0,-0.1333333333333333,-1.1052179213517301
1975,19,13.0,0.46153846153846145,-0.7761401538662174
1976,19,19.0,0.0,-0.8265520080856223
1977,21,19.0,0.10526315789473695,-0.7768804037480304
1978,18,21.0,-0.1428571428571429,-0.9814429377946938
1979,24,18.0,0.33333333333333326,-0.7441727195623034
1980,27,24.0,0.125,-0.676801538125325
1981,22,27.0,-0.18518518518518523,-0.932007804990743
1982,26,22.0,0.18181818181818188,-0.8153655745469677
1983,30,26.0,0.15384615384615374,-0.7226765851256993
1984,23,30.0,-0.23333333333333328,-1.0387916050780959
1985,30,23.0,0.30434782608695654,-0.8235002935644951
1986,28,30.0,-0.06666666666666665,-0.9429050192708517
1987,40,28.0,0.4285714285714286,-0.63664192955151
1988,47,40.0,0.17500000000000004,-0.5257856361747928
1989,53,47.0,0.12765957446808507,-0.45605317855212
1990,71,53.0,0.3396226415094339,-0.2140770692823315
1991,53,71.0,-0.2535211267605634,-0.55687688699093
1992,87,53.0,0.6415094339622642,-0.11167253610785899
1993,85,87.0,-0.02298850574712641,-0.185341252491531
1994,97,85.0,0.14117647058823524,-0.1036933846978556
1995,99,97.0,0.020618556701030855,-0.1336963672860536
1996,108,99.0,0.09090909090909083,-0.09709684451581424
1997,106,108.0,-0.01851851851851849,-0.1662008317473722
1998,127,106.0,0.19811320754716988,-0.03586469362025291
1999,136,127.0,0.07086614173228356,-0.017808748562182508
2000,189,136.0,0.3897058823529411,0.26087152654200274
2001,189,189.0,0.0,0.21045967232261198
2002,199,189.0,0.05291005291005302,0.2116056277680567
2003,222,199.0,0.11557788944723613,0.27056633069643876
2004,261,222.0,0.17567567567567566,0.3819975019274624
2005,292,261.0,0.11877394636015315,0.44381904265364547
2006,301,292.0,0.03082191780821919,0.42376365091484836
2007,346,301.0,0.1495016611295681,0.5126803070042927
2008,376,346.0,0.08670520231213863,0.5454188211170576
2009,462,376.0,0.22872340425531923,0.7009827145895109
2010,492,462.0,0.06493506493506485,0.7134846857806751
2011,560,492.0,0.1382113821138211,0.7925308987981712
2012,673,560.0,0.20178571428571423,0.9259275904942994
2013,807,673.0,0.1991084695393759,1.0570940749001299
2014,1049,807.0,0.2998760842627013,1.268951160807073
2015,1520,1049.0,0.44899904671115354,1.5894123120316932
