paper_id,year,referenceCount,citationCount,source_paper_id_x,total_refs,internal_refs,external_refs,external_ref_ratio,source_paper_id_y,observed_out_refs,source_year,backward_pool_size,ref_rate_per_available_paper,target_paper_id,observed_in_cites,mean_in_cites,median_in_cites,std_in_cites,citation_norm_year_mean,citation_z_year,paper_age,cites_per_year_alive,mean_by_age,median_by_age,std_by_age,citation_norm_age_mean,citation_z_age,period,internal_ref_ratio,internal_coverage_of_citations,internal_coverage_of_references
1,2026,36.0,0.0,1.0,32.0,32.0,0.0,0.0,1.0,32.0,2026,72363,0.00044221494410126723,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.8888888888888888
2,2026,40.0,0.0,2.0,39.0,39.0,0.0,0.0,2.0,39.0,2026,72363,0.0005389494631234194,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.975
3,2026,47.0,0.0,3.0,36.0,36.0,0.0,0.0,3.0,36.0,2026,72363,0.0004974918121139257,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.7659574468085106
4,2026,36.0,0.0,4.0,35.0,35.0,0.0,0.0,4.0,35.0,2026,72363,0.000483672595110761,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9722222222222222
5,2026,55.0,0.0,5.0,48.0,48.0,0.0,0.0,5.0,48.0,2026,72363,0.0006633224161519009,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.8727272727272727
6,2026,28.0,0.0,6.0,21.0,21.0,0.0,0.0,6.0,21.0,2026,72363,0.0002902035570664566,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.75
7,2026,79.0,0.0,7.0,70.0,70.0,0.0,0.0,7.0,70.0,2026,72363,0.000967345190221522,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.8860759493670886
8,2026,88.0,0.0,8.0,86.0,85.0,1.0,0.011627906976744186,8.0,86.0,2026,72363,0.0011884526622721557,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,0.9883720930232558,,0.9772727272727273
9,2026,63.0,0.0,9.0,58.0,58.0,0.0,0.0,9.0,58.0,2026,72363,0.0008015145861835468,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9206349206349206
10,2026,84.0,0.0,10.0,80.0,80.0,0.0,0.0,10.0,80.0,2026,72363,0.001105537360253168,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9523809523809523
11,2026,78.0,0.0,11.0,72.0,71.0,1.0,0.013888888888888888,11.0,72.0,2026,72363,0.0009949836242278513,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,0.9861111111111112,,0.9230769230769231
12,2026,50.0,0.0,12.0,46.0,46.0,0.0,0.0,12.0,46.0,2026,72363,0.0006356839821455716,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.92
13,2026,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2026,72363,0.0,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,,,
14,2026,42.0,0.0,14.0,40.0,40.0,0.0,0.0,14.0,40.0,2026,72363,0.000552768680126584,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9523809523809523
15,2026,36.0,0.0,15.0,34.0,34.0,0.0,0.0,15.0,34.0,2026,72363,0.00046985337810759645,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9444444444444444
16,2026,27.0,0.0,16.0,9.0,9.0,0.0,0.0,16.0,9.0,2026,72363,0.00012437295302848142,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.3333333333333333
17,2026,61.0,0.0,17.0,59.0,59.0,0.0,0.0,17.0,59.0,2026,72363,0.0008153338031867115,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9672131147540983
18,2024,73.0,12.0,18.0,71.0,71.0,0.0,0.0,18.0,71.0,2024,61849,0.001147957121376255,,0.0,1.3316223152775901,1.0,2.0336558647341794,0.0,-0.6547923561549326,3,0.0,1.3316223152775901,1.0,2.0336558647341794,0.0,-0.6547923561549326,post_2023,1.0,0.0,0.9726027397260274
19,2026,65.0,0.0,19.0,62.0,62.0,0.0,0.0,19.0,62.0,2026,72363,0.0008567914541962053,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9538461538461539
20,2026,70.0,0.0,20.0,68.0,68.0,0.0,0.0,20.0,68.0,2026,72363,0.0009397067562151929,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9714285714285714
21,2026,52.0,0.0,21.0,51.0,51.0,0.0,0.0,21.0,51.0,2026,72363,0.0007047800671613946,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9807692307692307
22,2026,38.0,0.0,22.0,37.0,37.0,0.0,0.0,22.0,37.0,2026,72363,0.0005113110291170902,,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,1,0.0,0.27927927927927926,0.0,0.589058166448876,0.0,-0.4741115482073836,post_2023,1.0,,0.9736842105263158
