source_year,target_year,n_citations,n_available_papers,citations_per_available_paper
2017,1951,1,6,0.16666666666666666
2017,1956,1,10,0.1
2017,1977,1,21,0.047619047619047616
2017,1985,1,30,0.03333333333333333
2017,1988,1,47,0.02127659574468085
2017,1989,7,53,0.1320754716981132
2017,1991,2,53,0.03773584905660377
2017,1992,3,87,0.034482758620689655
2017,1993,2,85,0.023529411764705882
2017,1994,1,97,0.010309278350515464
2017,1995,3,99,0.030303030303030304
2017,1996,2,108,0.018518518518518517
2017,1997,4,106,0.03773584905660377
2017,1998,5,127,0.03937007874015748
2017,1999,4,136,0.029411764705882353
2017,2000,1,189,0.005291005291005291
2017,2001,2,189,0.010582010582010581
2017,2002,5,199,0.02512562814070352
2017,2003,1,222,0.0045045045045045045
2017,2004,7,261,0.02681992337164751
2017,2005,10,292,0.03424657534246575
2017,2006,21,301,0.06976744186046512
2017,2007,13,346,0.03757225433526012
2017,2008,9,376,0.023936170212765957
2017,2009,19,462,0.04112554112554113
2017,2010,17,492,0.034552845528455285
2017,2011,27,560,0.048214285714285716
2017,2012,27,673,0.04011887072808321
2017,2013,43,807,0.05328376703841388
2017,2014,75,1049,0.07149666348903717
2017,2015,101,1520,0.06644736842105263
2017,2016,70,2276,0.030755711775043937
2017,2017,16,3445,0.0046444121915820025
2018,1911,1,2,0.5
2018,1936,1,3,0.3333333333333333
2018,1952,1,9,0.1111111111111111
2018,1957,1,10,0.1
2018,1965,1,15,0.06666666666666667
2018,1967,4,21,0.19047619047619047
2018,1969,1,20,0.05
2018,1971,1,19,0.05263157894736842
2018,1977,1,21,0.047619047619047616
2018,1978,1,18,0.05555555555555555
2018,1980,1,27,0.037037037037037035
2018,1983,1,30,0.03333333333333333
2018,1985,1,30,0.03333333333333333
2018,1986,2,28,0.07142857142857142
2018,1988,2,47,0.0425531914893617
2018,1989,15,53,0.2830188679245283
2018,1990,3,71,0.04225352112676056
2018,1991,4,53,0.07547169811320754
2018,1992,7,87,0.08045977011494253
2018,1993,8,85,0.09411764705882353
2018,1994,6,97,0.061855670103092786
2018,1995,5,99,0.050505050505050504
2018,1996,6,108,0.05555555555555555
2018,1997,9,106,0.08490566037735849
2018,1998,7,127,0.05511811023622047
2018,1999,3,136,0.022058823529411766
2018,2000,5,189,0.026455026455026454
2018,2001,6,189,0.031746031746031744
2018,2002,4,199,0.020100502512562814
2018,2003,3,222,0.013513513513513514
2018,2004,4,261,0.01532567049808429
2018,2005,13,292,0.04452054794520548
2018,2006,34,301,0.11295681063122924
2018,2007,9,346,0.02601156069364162
2018,2008,10,376,0.026595744680851064
2018,2009,58,462,0.12554112554112554
2018,2010,33,492,0.06707317073170732
2018,2011,27,560,0.048214285714285716
2018,2012,49,673,0.07280832095096583
2018,2013,81,807,0.10037174721189591
2018,2014,235,1049,0.22402287893231648
2018,2015,309,1520,0.20328947368421052
2018,2016,410,2276,0.18014059753954306
2018,2017,407,3445,0.1181422351233672
2018,2018,131,5022,0.026085225009956192
2019,1906,1,1,1.0
2019,1951,1,6,0.16666666666666666
2019,1952,1,9,0.1111111111111111
2019,1957,1,10,0.1
2019,1960,3,10,0.3
2019,1961,1,6,0.16666666666666666
2019,1962,2,7,0.2857142857142857
2019,1966,1,12,0.08333333333333333
2019,1969,1,20,0.05
2019,1970,1,21,0.047619047619047616
2019,1972,2,23,0.08695652173913043
2019,1973,1,15,0.06666666666666667
2019,1975,1,19,0.05263157894736842
2019,1977,1,21,0.047619047619047616
2019,1979,1,24,0.041666666666666664
2019,1980,3,27,0.1111111111111111
2019,1981,1,22,0.045454545454545456
2019,1983,2,30,0.06666666666666667
2019,1985,3,30,0.1
2019,1986,1,28,0.03571428571428571
2019,1987,1,40,0.025
2019,1988,5,47,0.10638297872340426
2019,1989,20,53,0.37735849056603776
2019,1990,2,71,0.028169014084507043
2019,1991,5,53,0.09433962264150944
2019,1992,13,87,0.14942528735632185
2019,1993,8,85,0.09411764705882353
2019,1994,7,97,0.07216494845360824
2019,1995,10,99,0.10101010101010101
2019,1996,6,108,0.05555555555555555
2019,1997,18,106,0.16981132075471697
2019,1998,21,127,0.16535433070866143
2019,1999,8,136,0.058823529411764705
2019,2000,26,189,0.13756613756613756
2019,2001,20,189,0.10582010582010581
2019,2002,17,199,0.08542713567839195
2019,2003,17,222,0.07657657657657657
2019,2004,22,261,0.0842911877394636
2019,2005,38,292,0.13013698630136986
2019,2006,76,301,0.25249169435215946
2019,2007,27,346,0.07803468208092486
2019,2008,58,376,0.15425531914893617
2019,2009,111,462,0.24025974025974026
2019,2010,74,492,0.15040650406504066
2019,2011,60,560,0.10714285714285714
2019,2012,123,673,0.1827637444279346
2019,2013,210,807,0.26022304832713755
2019,2014,473,1049,0.45090562440419446
2019,2015,826,1520,0.5434210526315789
2019,2016,923,2276,0.4055360281195079
2019,2017,1134,3445,0.32917271407837445
2019,2018,1049,5022,0.20888092393468738
2019,2019,543,6767,0.0802423525934683
2020,1881,1,1,1.0
2020,1893,1,1,1.0
2020,1920,1,2,0.5
2020,1927,1,3,0.3333333333333333
2020,1938,1,3,0.3333333333333333
2020,1942,1,1,1.0
2020,1943,1,3,0.3333333333333333
2020,1946,1,4,0.25
2020,1948,3,4,0.75
2020,1949,2,5,0.4
2020,1950,2,5,0.4
2020,1951,4,6,0.6666666666666666
2020,1952,1,9,0.1111111111111111
2020,1954,1,6,0.16666666666666666
2020,1956,2,10,0.2
2020,1957,1,10,0.1
2020,1958,1,7,0.14285714285714285
2020,1961,1,6,0.16666666666666666
2020,1962,3,7,0.42857142857142855
2020,1964,2,14,0.14285714285714285
2020,1965,7,15,0.4666666666666667
2020,1966,5,12,0.4166666666666667
2020,1967,3,21,0.14285714285714285
2020,1969,2,20,0.1
2020,1970,2,21,0.09523809523809523
2020,1971,4,19,0.21052631578947367
2020,1972,2,23,0.08695652173913043
2020,1974,1,13,0.07692307692307693
2020,1975,3,19,0.15789473684210525
2020,1976,3,19,0.15789473684210525
2020,1977,1,21,0.047619047619047616
2020,1979,2,24,0.08333333333333333
2020,1980,6,27,0.2222222222222222
2020,1981,2,22,0.09090909090909091
2020,1982,6,26,0.23076923076923078
2020,1983,9,30,0.3
2020,1984,5,23,0.21739130434782608
2020,1985,7,30,0.23333333333333334
2020,1986,6,28,0.21428571428571427
2020,1987,4,40,0.1
2020,1988,12,47,0.2553191489361702
2020,1989,45,53,0.8490566037735849
2020,1990,19,71,0.2676056338028169
2020,1991,9,53,0.16981132075471697
2020,1992,24,87,0.27586206896551724
2020,1993,18,85,0.21176470588235294
2020,1994,23,97,0.23711340206185566
2020,1995,28,99,0.2828282828282828
2020,1996,26,108,0.24074074074074073
2020,1997,55,106,0.5188679245283019
2020,1998,36,127,0.28346456692913385
2020,1999,33,136,0.2426470588235294
2020,2000,43,189,0.2275132275132275
2020,2001,36,189,0.19047619047619047
2020,2002,45,199,0.22613065326633167
2020,2003,49,222,0.22072072072072071
2020,2004,43,261,0.16475095785440613
2020,2005,80,292,0.273972602739726
2020,2006,134,301,0.44518272425249167
2020,2007,50,346,0.14450867052023122
2020,2008,94,376,0.25
2020,2009,265,462,0.5735930735930735
2020,2010,112,492,0.22764227642276422
2020,2011,142,560,0.25357142857142856
2020,2012,187,673,0.27786032689450224
2020,2013,337,807,0.41759603469640644
2020,2014,821,1049,0.782650142993327
2020,2015,1357,1520,0.8927631578947368
2020,2016,1600,2276,0.70298769771529
2020,2017,2170,3445,0.6298984034833092
2020,2018,2555,5022,0.5087614496216647
2020,2019,3604,6767,0.5325846017437564
2020,2020,1181,8355,0.14135248354278876
2021,1868,1,1,1.0
2021,1893,2,1,2.0
2021,1896,1,1,1.0
2021,1901,1,1,1.0
2021,1908,1,1,1.0
2021,1926,1,1,1.0
2021,1927,1,3,0.3333333333333333
2021,1933,1,4,0.25
2021,1938,2,3,0.6666666666666666
2021,1940,1,2,0.5
2021,1948,1,4,0.25
2021,1949,1,5,0.2
2021,1950,1,5,0.2
2021,1951,4,6,0.6666666666666666
2021,1952,3,9,0.3333333333333333
2021,1953,4,9,0.4444444444444444
2021,1954,3,6,0.5
2021,1955,6,3,2.0
2021,1959,2,4,0.5
2021,1960,1,10,0.1
2021,1961,1,6,0.16666666666666666
2021,1962,2,7,0.2857142857142857
2021,1963,1,5,0.2
2021,1964,2,14,0.14285714285714285
2021,1965,8,15,0.5333333333333333
2021,1966,1,12,0.08333333333333333
2021,1967,4,21,0.19047619047619047
2021,1968,2,8,0.25
