node,paper_id,total_citations,valid,known_but_unseen,hallucinated,hallucinated_refs,valid_pct,hallucinated_pct,extraction_ok,citation_ids_ok
0,N0P5,22,22,0,0,,100.0,0.0,True,True
0,N0P15,26,26,0,0,,100.0,0.0,True,True
0,N0P10,22,22,0,0,,100.0,0.0,True,True
0,N0P26,22,22,0,0,,100.0,0.0,True,True
0,N0P20,28,28,0,0,,100.0,0.0,True,True
0,N0P6,24,24,0,0,,100.0,0.0,True,True
0,N0P3,26,26,0,0,,100.0,0.0,True,True
0,N0P17,28,28,0,0,,100.0,0.0,True,True
0,N0P25,24,24,0,0,,100.0,0.0,True,True
0,N0P1,26,26,0,0,,100.0,0.0,True,True
0,N0P11,27,27,0,0,,100.0,0.0,True,True
0,N0P29,28,28,0,0,,100.0,0.0,True,True
0,N0P19,26,26,0,0,,100.0,0.0,True,True
0,N0P12,29,29,0,0,,100.0,0.0,True,True
0,N0P14,26,26,0,0,,100.0,0.0,True,True
0,N0P0,25,25,0,0,,100.0,0.0,True,True
0,N0P16,29,29,0,0,,100.0,0.0,True,True
0,N0P7,28,28,0,0,,100.0,0.0,True,True
0,N0P22,20,20,0,0,,100.0,0.0,True,True
0,N0P9,27,27,0,0,,100.0,0.0,True,True
0,N0P13,26,26,0,0,,100.0,0.0,True,True
0,N0P4,22,22,0,0,,100.0,0.0,True,True
0,N0P18,23,23,0,0,,100.0,0.0,True,True
0,N0P21,27,27,0,0,,100.0,0.0,True,True
0,N0P27,28,28,0,0,,100.0,0.0,True,True
0,N0P28,29,29,0,0,,100.0,0.0,True,True
0,N0P23,29,29,0,0,,100.0,0.0,True,True
0,N0P2,29,29,0,0,,100.0,0.0,True,True
0,N0P24,27,27,0,0,,100.0,0.0,True,True
0,N0P8,25,25,0,0,,100.0,0.0,True,True
1,N1P15,22,22,0,0,,100.0,0.0,True,True
1,N1P23,22,22,0,0,,100.0,0.0,True,True
1,N1P13,25,25,0,0,,100.0,0.0,True,True
1,N1P22,26,26,0,0,,100.0,0.0,True,True
1,N1P5,23,23,0,0,,100.0,0.0,True,True
1,N1P25,23,23,0,0,,100.0,0.0,True,True
1,N1P11,27,27,0,0,,100.0,0.0,True,True
1,N1P29,26,26,0,0,,100.0,0.0,True,True
1,N1P24,25,25,0,0,,100.0,0.0,True,True
1,N1P18,27,27,0,0,,100.0,0.0,True,True
1,N1P8,23,23,0,0,,100.0,0.0,True,True
1,N1P12,23,23,0,0,,100.0,0.0,True,True
1,N1P0,25,25,0,0,,100.0,0.0,True,True
1,N1P1,21,21,0,0,,100.0,0.0,True,True
1,N1P26,27,27,0,0,,100.0,0.0,True,True
1,N1P2,28,28,0,0,,100.0,0.0,True,True
1,N1P9,26,26,0,0,,100.0,0.0,True,True
1,N1P10,27,27,0,0,,100.0,0.0,True,True
1,N1P14,24,24,0,0,,100.0,0.0,True,True
1,N1P4,25,25,0,0,,100.0,0.0,True,True
1,N1P16,27,27,0,0,,100.0,0.0,True,True
1,N1P27,25,25,0,0,,100.0,0.0,True,True
1,N1P28,27,27,0,0,,100.0,0.0,True,True
1,N1P7,28,28,0,0,,100.0,0.0,True,True
1,N1P6,24,23,0,1,"Davies, 2019",95.83,4.17,True,True
1,N1P17,26,26,0,0,,100.0,0.0,True,True
1,N1P3,26,26,0,0,,100.0,0.0,True,True
1,N1P19,21,21,0,0,,100.0,0.0,True,True
1,N1P21,25,25,0,0,,100.0,0.0,True,True
1,N1P20,26,25,0,1,"Rey, 2019",96.15,3.85,True,True
2,N2P25,23,23,0,0,,100.0,0.0,True,True
2,N2P0,26,26,0,0,,100.0,0.0,True,True
2,N2P27,25,25,0,0,,100.0,0.0,True,True
2,N2P3,24,24,0,0,,100.0,0.0,True,True
2,N2P17,24,24,0,0,,100.0,0.0,True,True
2,N2P29,23,23,0,0,,100.0,0.0,True,True
2,N2P13,24,24,0,0,,100.0,0.0,True,True
2,N2P16,22,22,0,0,,100.0,0.0,True,True
2,N2P19,28,28,0,0,,100.0,0.0,True,True
2,N2P18,27,27,0,0,,100.0,0.0,True,True
2,N2P1,23,23,0,0,,100.0,0.0,True,True
2,N2P5,24,24,0,0,,100.0,0.0,True,True
2,N2P14,27,27,0,0,,100.0,0.0,True,True
2,N2P4,26,26,0,0,,100.0,0.0,True,True
2,N2P22,23,23,0,0,,100.0,0.0,True,True
2,N2P2,22,22,0,0,,100.0,0.0,True,True
